sos,eos,tos,anomaly_true,anomaly_pred,mse
78,96,75,0,1,0.001995599362999201
77,97,75,0,0,0.00047846155939623713
81,97,75,0,0,0.009066031314432621
74,96,75,0,1,0.0011993504595011473
74,97,75,0,0,0.007100763730704784
77,97,75,0,0,0.003439710708335042
78,96,75,0,0,0.004528790712356567
79,95,75,1,1,0.00025210969033651054
74,96,75,1,1,0.0005488021415658295
79,97,75,0,0,0.00494999997317791
75,96,75,0,0,0.0025038954336196184
75,97,75,0,0,0.0058127278462052345
76,95,75,0,1,0.0006188719999045134
72,96,75,0,0,0.003464039880782366
74,98,75,0,0,0.0013484825612977147
88,99,75,0,1,0.009533470496535301
76,96,75,0,0,0.0008328115218318999
75,97,75,0,1,0.0072867716662585735
75,97,75,1,1,0.00028854477568529546
74,95,75,0,0,0.001600978197529912
75,96,75,0,0,0.003112149890512228
73,97,75,0,0,0.004768195562064648
74,97,75,0,1,0.002553104655817151
76,96,75,0,1,0.0042684306390583515
76,97,75,0,0,0.0007021907949820161
74,98,75,0,0,0.006718879099935293
75,96,75,0,1,0.0024305612314492464
70,90,75,0,0,0.0001746746856952086
80,96,75,0,0,0.009635048918426037
80,96,75,0,1,0.009823177941143513
79,96,75,0,1,0.008541609160602093
77,97,75,0,1,0.005350154358893633
76,97,75,0,0,0.006069849710911512
77,94,75,0,0,0.0023323644418269396
82,103,75,1,1,0.0013827035436406732
75,94,75,0,0,0.0025809910148382187
77,96,75,0,0,0.0031019782181829214
80,96,75,0,0,0.006373956799507141
74,95,75,0,0,0.0013108826242387295
73,83,75,0,0,0.0004459175397641957
73,98,75,0,1,0.010071772150695324
76,97,75,1,1,0.0018129219533875585
79,96,75,0,1,0.02165236696600914
80,96,75,0,0,0.019500181078910828
78,96,75,1,1,0.0001524772960692644
72,97,75,0,0,0.0030266614630818367
76,93,75,1,1,0.0006583188660442829
74,96,75,0,0,0.002222070936113596
75,98,75,0,0,0.008744873106479645
75,98,75,0,1,0.0014099603286013007
79,96,75,0,0,0.0014798842603340745
73,91,75,0,0,0.003042579861357808
73,96,75,0,0,0.00381864164955914
77,97,75,0,0,0.0005340106436051428
69,84,75,1,1,0.00023011678422335535
79,97,75,0,0,0.006824294105172157
76,96,75,0,0,0.007621319033205509
82,97,75,0,1,0.013689977116882801
76,95,75,0,1,0.0020316760055720806
77,94,75,0,0,0.0011819140054285526
74,96,75,0,0,0.0054414719343185425
